relative_path	artifact_type	evidence_role	retention_decision	files	bytes	slx_count	text_reference_files_at_initial_scan	text_reference_paths_at_initial_scan	saved_status_records_not_revalidation	inventory_date
tmp/compare_steady_model_variants_api.m	工装脚本或依赖	工装脚本或依赖	保留实现；执行前按当前任务核对输入	1	2390	0	0			2026-09-07
tmp/downstream_energy_budget_20260906	离线核查或状态证据	2026-09-06诊断支撑；见同主题报告	保留；未记录仿真成功不等于物理模型失败	6	104663	0	1	docs/2026-09-06-downstream-energy-budget.md		2026-09-07
tmp/fig519-mainline-preflight.LqgWEk	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	2	1472049	1	1	docs/model_inventory.tsv		2026-09-07
tmp/fig519_contract_tests	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	43	3875720	0	0			2026-09-07
tmp/fig519_initialization_20260831_A1	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	3	479833	0	9	docs/superpowers/plans/2026-08-31-steady53-radiator-freeze-fig519.md | tests/run_fig519_reactor_ic_counterfactual.m | tests/audit_fig519_initialization.m | tests/test_publish_fig519_initialization.py | tests/analyze_fig519_baseline.py | tests/test_audit_fig519_initialization.m | tests/publish_fig519_initialization.py | data/provenance/steady53/fig5_19/initialization_audit.json | data/provenance/steady53/fig5_19/manifest.csv		2026-09-07
tmp/fig519_initialization_20260831_A1_invalid_root_shadow_20260831	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	351043	0	0			2026-09-07
tmp/fig519_initialization_20260831_A1_review_rebuild	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/fig519_initialization_review3_fixedraw	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	121822	0	0			2026-09-07
tmp/fig519_initialization_review3_outports	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	135360	0	0			2026-09-07
tmp/fig519_reactor_ic_20260831_A1	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	4	661390	1	8	docs/model_inventory.tsv | docs/superpowers/plans/2026-08-31-steady53-radiator-freeze-fig519.md | tests/prepare_fig519_reactor_ic_a2.py | tests/test_fig519_counterfactual.py | tests/test_prepare_fig519_reactor_ic_a2.py | tests/analyze_fig519_counterfactual.py | data/provenance/steady53/fig5_19/manifest.csv | data/provenance/steady53/fig5_19/reactor_ic_counterfactual.json		2026-09-07
tmp/fig519_reactor_ic_20260901_A2	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	8	1040242	1	8	docs/model_inventory.tsv | docs/superpowers/plans/2026-09-01-ihx-r2-hexe-shift-a3.md | tests/prepare_fig519_reactor_ic_a2.py | tests/test_fig519_counterfactual.py | tests/test_prepare_fig519_reactor_ic_a2.py | tests/analyze_fig519_counterfactual.py | data/provenance/steady53/fig5_19/manifest.csv | data/provenance/steady53/fig5_19/reactor_ic_counterfactual.json	tmp/fig519_reactor_ic_20260901_A2/run/run_status.json: success=未记录	2026-09-07
tmp/fig519_reactor_ic_20260901_A2_command_capture	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	14	90226	0	5	tests/prepare_fig519_reactor_ic_a2.py | tests/test_fig519_counterfactual.py | tests/analyze_fig519_counterfactual.py | data/provenance/steady53/fig5_19/manifest.csv | data/provenance/steady53/fig5_19/reactor_ic_counterfactual.json		2026-09-07
tmp/fig519_reactor_ic_20260901_A2_execution_spool	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	7	1764	0	2	tests/prepare_fig519_reactor_ic_a2.py | tests/test_prepare_fig519_reactor_ic_a2.py		2026-09-07
tmp/fixed_protocol_prefix_20260906	模型副本及实验记录	当前短程对照；保留	保留；按模型身份和对应报告复用，不默认晋升	173	14453852	2	4	docs/model_inventory.tsv | docs/STATUS.md | docs/README.md | docs/2026-09-06-fixed-protocol-prefix-check.md	tmp/fixed_protocol_prefix_20260906/run_500/status.json: success=True | tmp/fixed_protocol_prefix_20260906/run_1000/status.json: success=True	2026-09-07
tmp/flow_alignment_diagnostic_20260906	离线核查或状态证据	2026-09-06诊断支撑；见同主题报告	保留；未记录仿真成功不等于物理模型失败	4	164352	0	1	docs/2026-09-06-flow-alignment-diagnostic.md		2026-09-07
tmp/hexe_source_7Iqt3c	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	136974	0	1	tests/verify_steady53_hexe_path_integrability.py		2026-09-07
tmp/ihx_endpoint_reference_djr3cwr0	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	4	5464236	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/ihx_endpoint_reference_qthcy_hv	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	144519	0	0			2026-09-07
tmp/ihx_equation_source_n1I14d	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	5	1281593	0	2	docs/steady53_curve_recheck_20260828.md | tests/audit_ihx_geometry_identifiability.py		2026-09-07
tmp/ihx_geometry_audit_f4tdkkmr	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	8902	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
